Average Gsr Per Shape, Average Gsr Before Shapes,percent change from before shapes
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
-486.3497356569,111168.627206412,-100.4374882985
0,111168.627206412,-100
200.2588612034,111168.627206412,-99.8198602733
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
-6945.0925182469,111168.627206412,-106.2473493582
500.7009813739,111168.627206412,-99.5496022628
1089.5309556012,111168.627206412,-99.0199294684
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
1254.6700830069,111168.627206412,-98.871381149
0,111168.627206412,-100
934.7741723,111168.627206412,-99.1591385126
17.2602664802,111168.627206412,-99.9844737972
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
2788.6348628438,111168.627206412,-97.4915271215
0,111168.627206412,-100
10670.5790438074,111168.627206412,-90.4014475019
0,111168.627206412,-100
20.4968854982,111168.627206412,-99.9815623472
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
16.7385858919,111168.627206412,-99.9849430668
0,111168.627206412,-100
0,111168.627206412,-100
384.201795885,111168.627206412,-99.6543972832
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
376.6925238547,111168.627206412,-99.6611521314
20.1426908218,111168.627206412,-99.9818809575
33854.8618138798,111168.627206412,-69.5463885229
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
-57.5297860467,111168.627206412,-100.0517500193
0,111168.627206412,-100
0,111168.627206412,-100
-15422.6262264843,111168.627206412,-113.8731822224
22.7396382063,111168.627206412,-99.9795449141
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
250.5888838771,111168.627206412,-99.7745866886
48.4909591656,111168.627206412,-99.956380716
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
54.1911429996,111168.627206412,-99.9512532048
0,111168.627206412,-100
0,111168.627206412,-100
19288.2630919086,111168.627206412,-82.6495445913
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
651.8451846827,111168.627206412,-99.4136428585
143.6056149528,111168.627206412,-99.870821815
21.277848164,111168.627206412,-99.9808598445
0,111168.627206412,-100
1562.669706363,111168.627206412,-98.5943249048
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
512.8131848523,111168.627206412,-99.5387069196
0,111168.627206412,-100
402.1499566413,111168.627206412,-99.6382522959
-9.4854695153,111168.627206412,-100.0085325058
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
4003.7410441274,111168.627206412,-96.3984973596
-198.1806019573,111168.627206412,-100.1782702611
0,111168.627206412,-100
22.5673652958,111168.627206412,-99.9796998795
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
143.3809696764,111168.627206412,-99.8710238911
108.1089799721,111168.627206412,-99.9027522578
0,111168.627206412,-100
0,111168.627206412,-100
22.138685582,111168.627206412,-99.9800854916
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
23.6003237964,111168.627206412,-99.9787706978
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
2758.624352289,111168.627206412,-97.518522607
285.0352291781,111168.627206412,-99.7436010174
22.4351064546,111168.627206412,-99.9798188509
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
-1171.7932164141,111168.627206412,-101.0540682618
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
24.6626861456,111168.627206412,-99.9778150664
0,111168.627206412,-100
3.6781371255,111168.627206412,-99.9966913893
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
96.5884943785,111168.627206412,-99.9131153305
139.6297020302,111168.627206412,-99.8743982853
-65.5471218259,111168.627206412,-100.0589618883
1015.8350397669,111168.627206412,-99.086221477
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
18.3378230437,111168.627206412,-99.9835044981
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
0,111168.627206412,-100
