Set,Seq,Shape,ShapeName,startCos,startSin,DiagLen,DiagAngle,EndDist,EndCos,EndSin,PathLen,TotalRotSum,AbsRotSum,RotSquaredSum,AvgSpeed,TotalTime,AvgPressure,StrokeCount
1,1,1,Line,1,0,627.867820484535,0.0525830616109417,627.816055863499,0.998700167260972,-0.0509703434646748,632.540234108091,5.55111512312578E-17,15.6501774919425,5.77467052260917,632.540234108091,1,524.215189873418,1
1,1,2,Psi,-1,0,788.000634517511,0.468755396589559,687.395810286912,-0.920866828873735,0.389877267200886,892.157504924906,-0.785398163397448,27.4861482741207,10.7977936064437,223.039376231226,4,653.103806228374,2
1,1,2,Psi,1,0,661.218572031972,0.617788168871545,459.847800908083,0.55670593508214,0.83070963750538,1211.87983499853,3.83415499290357,30.9325459818104,11.7120051690636,403.959944999509,3,601.718644067797,2
1,1,3,Pound,-0.707106781186547,0.707106781186547,630.276923264687,0.532528507596906,381.921457894159,0.895472073985373,0.445117697595068,1661.78774278517,2.03639069308524,20.0152743614667,11.7279795081407,830.893871392584,2,397.769633507853,4
1,1,4,Infinity,0,1,555.339535779689,0.309222736031656,105.688220724923,-0.842099520547729,0.539322164845174,1400.09230256343,-1.5707963267949,20.2025457387509,5.17858881445712,1400.09230256343,1,555.642512077295,1
1,2,1,Line,1,0,808.015470148932,0.00618803982686747,808.000618811644,0.999999234144591,0.00123762281453539,809.365565405081,-0.785398163397448,4.55350999465438,1.73845494991514,809.365565405081,1,432.106796116505,1
1,2,2,Infinity,-0.8,0.6,446.054929352877,0.410484898405935,46.9574275274956,-0.447213595499958,0.894427190999916,1115.41976017486,-0.321750554396643,12.282857725047,2.55882036268114,1115.41976017486,1,490.689075630252,1
1,2,3,Pound,0,-1,591.186095912277,0.530266092305597,288.646843045269,0.810679228399881,0.585490553844358,1581.32635233362,2.93980598990765,19.2275846196198,8.8510683408899,527.108784111208,3,375.035294117647,4
1,2,4,Psi,-0.707106781186547,0.707106781186547,553.953969206829,0.67925176587162,395.132889038612,0.478320092412078,0.878185566492015,1016.08498961584,5.49778714378214,16.253214182136,4.58149054556951,508.042494807919,2,484.939759036145,2
1,3,1,Infinity,0,1,367.680567884679,0.375960953871306,77.7946013551069,-0.694135570584232,0.719844295420685,929.388984479033,-1.21202565652432,15.7284435311568,3.79879324500726,929.388984479033,1,451.287878787879,1
1,3,2,Pound,-1,0,417.062345459285,0.732815101786507,208.568933448872,0.354798764975898,0.934942691490541,838.938351640182,3.92699081698724,22.1283011002156,11.3490354438102,838.938351640182,1,504.585714285714,2
1,3,2,Pound,0,-1,460.405256268866,0.592219446022975,221.237429021402,0.854285826932641,0.519803545488115,1174.25965322786,-0.69442224830998,18.9981345271414,9.7311540015698,587.129826613932,2,408.804733727811,4
1,3,3,Line,0.707106781186547,0.707106781186547,647.707495710834,0.0726274508187901,647.565440708505,0.997582575273332,-0.0694910462651702,650.809737266824,1.5707963267949,6.45424604383951,2.25675811897873,650.809737266824,1,458.229885057471,1
1,3,4,Psi,-1,0,475.310424880414,0.761593137212378,344.70277051396,0.32491760896788,0.945742326102938,882.493405345738,6.41217228095137,16.9130858504734,12.9650277147455,441.246702672869,2,470.390070921986,2
1,3,4,Psi,-0.707106781186547,-0.707106781186547,319.662321833525,0.767700896139678,242.423183709809,0.462002017653842,0.886878873174786,592.450096066344,3.14159265358979,11.8310918187649,4.04138173479266,592.450096066344,1,409.0078125,2
1,3,5,Infinity,0,1,361.38206928402,0.47726062942871,18.4390889145858,0.216930457818656,0.976187060183953,857.318173543801,-1.24904577239825,12.4611587601491,2.57860354093412,857.318173543801,1,412.553571428571,1
1,4,1,Line,1,0,125.063983624383,0.0319890840393151,125.063983624383,0.999488392880756,-0.0319836285721842,125.794154020847,0,3.07911298672926,1.67228426835021,0,0,506.787234042553,1
1,4,2,Pound,1,0,365.406622819018,0.649521835167747,194.812730590175,0.944496796706159,0.328520624941273,935.32050478439,-3.04942689462299,20.6458340669323,17.2442769744853,467.660252392195,2,368.161016949153,4
1,4,3,Infinity,-1,0,254.672338505775,0.504047407834184,44.2040722106007,-0.610803454291821,0.791782255563472,654.807702966724,0.463647609000806,12.2484255117439,3.9026118818727,0,0,417.393258426966,1
1,4,4,Psi,0,-1,278.6000717875,0.928013092968029,210.774761297457,0.479184506618718,0.877714195291711,535.949943345854,7.53223107957784,14.6115902340986,7.93663836013644,535.949943345854,1,438.097087378641,2
1,4,5,Pound,-1,0,323.630962671992,0.730748039962491,154.301652615907,0.777697438527818,0.628638762809986,844.210852855977,2.20473187010077,18.1390729709391,12.3117940836492,422.105426427989,2,358.90350877193,4
1,4,6,Psi,-1,0,291.809869606907,0.919070591942061,229.427548476638,0.440226122236078,0.897886942382495,557.422691950413,6.67006102491061,16.6287881108831,7.94691147441431,557.422691950413,1,407.774509803922,2
1,5,1,Pound,0.707106781186547,0.707106781186547,351.404325528301,0.584845550105834,209.575761957341,0.854106402039161,0.520098311856249,913.67298623705,0.892826117002104,13.11938967868,4.76746120238053,456.836493118525,2,349.1625,4
1,5,2,Line,1,0,361.166166743232,0.080381983889778,358.175934423294,0.996716880420267,-0.0809657970089293,364.771052306321,5.55111512312578E-17,2.65077362007508,0.461389617357573,364.771052306321,1,386.381818181818,1
1,5,3,Psi,-0.707106781186547,0.707106781186547,278.657495861855,0.805699942256667,217.462640469576,0.381674754894794,0.924296695588597,549.820405968627,7.06858347057703,11.3035304757739,5.24943181018968,549.820405968627,1,409.031914893617,2
