Set,Seq,Shape,startCos,startSin,DiagLen,DiagAngle,EndDist,EndCos,EndSin,PathLen,TotalRotSum,AbsRotSum,RotSquaredSum,AvgSpeed,TotalTime
1,1,1,1,0,627.867820484535,0.0525830616109417,627.816055863499,0.998700167260972,-0.0509703434646748,632.540234108091,NaN,NaN,NaN,632.540234108091,1
1,1,2,-1,0,788.000634517511,0.468755396589559,687.395810286912,-0.920866828873735,0.389877267200886,1591.18897774999,NaN,NaN,NaN,397.797244437496,4
1,1,2,1,0,661.218572031972,0.617788168871545,459.847800908083,0.55670593508214,0.83070963750538,1503.13401951782,NaN,NaN,NaN,501.044673172608,3
1,1,3,-0.707106781186547,0.707106781186547,630.276923264687,0.532528507596906,381.921457894159,0.895472073985373,0.445117697595068,2908.07091067669,NaN,NaN,NaN,1454.03545533834,2
1,1,4,0,1,555.339535779689,0.309222736031656,105.688220724923,-0.842099520547729,0.539322164845174,1400.09230256343,NaN,NaN,NaN,1400.09230256343,1
1,2,1,1,0,808.015470148932,0.00618803982686747,808.000618811644,0.999999234144591,0.00123762281453539,809.365565405081,NaN,NaN,NaN,809.365565405081,1
1,2,2,-0.8,0.6,446.054929352877,0.410484898405935,46.9574275274956,-0.447213595499958,0.894427190999916,1115.41976017486,-0.321750554396643,12.282857725047,2.55882036268114,1115.41976017486,1
1,2,3,0,-1,591.186095912277,0.530266092305597,288.646843045269,0.810679228399881,0.585490553844358,2787.6846370373,NaN,NaN,NaN,929.228212345766,3
1,2,4,-0.707106781186547,0.707106781186547,553.953969206829,0.67925176587162,395.132889038612,0.478320092412078,0.878185566492015,1272.24314388776,NaN,NaN,NaN,636.121571943882,2
1,3,1,0,1,367.680567884679,0.375960953871306,77.7946013551069,-0.694135570584232,0.719844295420685,929.388984479033,NaN,NaN,NaN,929.388984479033,1
1,3,2,-1,0,417.062345459285,0.732815101786507,208.568933448872,0.354798764975898,0.934942691490541,982.969598250076,NaN,NaN,NaN,982.969598250076,1
1,3,2,0,-1,460.405256268866,0.592219446022975,221.237429021402,0.854285826932641,0.519803545488115,2090.68880135049,NaN,NaN,NaN,1045.34440067525,2
1,3,3,0.707106781186547,0.707106781186547,647.707495710834,0.0726274508187901,647.565440708505,0.997582575273332,-0.0694910462651702,650.809737266824,1.5707963267949,6.45424604383951,2.25675811897873,650.809737266824,1
1,3,4,-1,0,475.310424880414,0.761593137212378,344.70277051396,0.32491760896788,0.945742326102938,1123.4954800256,NaN,NaN,NaN,561.747740012802,2
1,3,4,-0.707106781186547,-0.707106781186547,319.662321833525,0.767700896139678,242.423183709809,0.462002017653842,0.886878873174786,741.238536477554,NaN,NaN,NaN,741.238536477554,1
1,3,5,0,1,361.38206928402,0.47726062942871,18.4390889145858,0.216930457818656,0.976187060183953,857.318173543801,NaN,NaN,NaN,857.318173543801,1
1,4,1,1,0,125.063983624383,0.0319890840393151,125.063983624383,0.999488392880756,-0.0319836285721842,125.794154020847,NaN,NaN,NaN,0,0
1,4,2,1,0,365.406622819018,0.649521835167747,194.812730590175,0.944496796706159,0.328520624941273,1619.80259069016,NaN,NaN,NaN,809.90129534508,2
1,4,3,-1,0,254.672338505775,0.504047407834184,44.2040722106007,-0.610803454291821,0.791782255563472,654.807702966724,NaN,NaN,NaN,0,0
1,4,4,0,-1,278.6000717875,0.928013092968029,210.774761297457,0.479184506618718,0.877714195291711,623.767936946255,NaN,NaN,NaN,623.767936946255,1
1,4,5,-1,0,323.630962671992,0.730748039962491,154.301652615907,0.777697438527818,0.628638762809986,1433.84174112455,NaN,NaN,NaN,716.920870562274,2
1,4,6,-1,0,291.809869606907,0.919070591942061,229.427548476638,0.440226122236078,0.897886942382495,644.886970373092,NaN,NaN,NaN,644.886970373092,1
1,5,1,0.707106781186547,0.707106781186547,351.404325528301,0.584845550105834,209.575761957341,0.854106402039161,0.520098311856249,1577.30604772886,NaN,NaN,NaN,788.653023864429,2
1,5,2,1,0,361.166166743232,0.080381983889778,358.175934423294,0.996716880420267,-0.0809657970089293,364.771052306321,NaN,NaN,NaN,364.771052306321,1
