Set,Seq,Shape,ShapeName,startCos,startSin,DiagLen,DiagAngle,EndDist,EndCos,EndSin,PathLen,TotalRotSum,AbsRotSum,RotSquaredSum,AvgSpeed,TotalTime,AvgPressure,StrokeCount,Average Gsr Per Shape, Average Gsr Before Shapes,percent change from before shapes,Aspect (Absolute value of 45 degrees minus bounding box angle)
1,1,1,Line,-1,0,865.5553130794,0.0358228189,860.5585395544,0.9993509569,-0.0360231159,872.5145504482,NaN,NaN,NaN,0,0,685.7301587302,1,170.010200612,51587.6219563549,-99.6704438116,42.9475036668
1,1,2,Psi,0,1,421.8826851152,1.0795841211,347.3326935375,0.2533593918,0.9673722234,839.9586067136,NaN,NaN,NaN,419.9793033568,2,587.6132075472,2,352.6466128293,51587.6219563549,-99.3164123496,16.8556137684
1,1,3,Pound,0,-1,360.4719129142,1.1170739502,359.5733583012,0.4394096402,0.8982867961,625.9607319715,NaN,NaN,NaN,625.9607319715,1,533.6282051282,2,0,51587.6219563549,-100,19.0036227505
1,1,4,Infinity,1,0,325.8849490234,0.0737123574,320.6883222071,0.99785361,-0.0654841432,333.1757263401,NaN,NaN,NaN,0,0,474.5714285714,1,0,51587.6219563549,-100,40.776593023
1,2,1,Line,1,0,548.1103903412,0.0200702974,548.0739001266,0.9998651639,0.0164211432,549.0386032089,NaN,NaN,NaN,0,0,480.6538461538,1,0,51587.6219563549,-100,43.8500566654
1,2,2,Infinity,-1,0,377,0.3947911197,36.2491379208,-0.4138029443,0.9103664775,973.6968645676,0.9827937232,12.3683221785,2.6933734387,973.6968645676,1,661.9181818182,1,0,51587.6219563549,-100,22.3801350519
1,2,3,Pound,0.7071067812,-0.7071067812,333.7573969218,0.7896354262,168.9082591231,0.9413394042,0.3374612958,713.4046603037,NaN,NaN,NaN,713.4046603037,1,528.6530612245,3,0,51587.6219563549,-100,0.2427772753
1,2,4,Psi,1,0,260.9291091465,0.0844143057,258.9362855994,0.9963841082,-0.084962986,263.8082975172,NaN,NaN,NaN,0,0,601.3225806452,1,0,51587.6219563549,-100,40.1634165529
1,2,4,Psi,0,1,419.5473751557,1.0900928026,346.1748113309,0.2628729677,0.9648304529,807.1201359581,NaN,NaN,NaN,807.1201359581,1,512.4069767442,2,0,51587.6219563549,-100,17.4577168666
1,3,1,Infinity,-0.5547001962,0.8320502943,469.6647740676,0.3049171277,93.0053761887,-0.9999421949,0.0107520666,1176.633743839,-0.7165416741,9.1787099616,1.568593446,0,0,610.4285714286,1,0,51587.6219563549,-100,27.5295354815
1,3,2,Pound,0,1,467.6804464589,0.7506164321,283.2701890422,0.7448718861,0.6672075189,1247.9240917479,NaN,NaN,NaN,1247.9240917479,1,532.1340206186,4,0,51587.6219563549,-100,1.9928464075
1,3,3,Line,-1,0,419.300608156,0.078783961,418.3037174112,0.9968833234,-0.0788900472,421.3032717068,NaN,NaN,NaN,0,0,543.0714285714,1,0,51587.6219563549,-100,40.4860115414
1,3,4,Psi,0.316227766,0.9486832981,450.8713785549,1.0277142235,364.2814845693,0.2772581212,0.9607954695,892.6209374403,NaN,NaN,NaN,892.6209374403,1,550.75,2,0,51587.6219563549,-100,13.8836875521
1,3,5,Infinity,0,1,396.4151863892,0.4072104307,68.2641926635,-0.0878938103,0.99612985,1035.3053181387,-0.1418970546,10.7361655875,2.2939139127,1035.3053181387,1,631.4647887324,1,677.9232729874,51587.6219563549,-98.6858799703,21.6685609472
1,4,1,Line,-1,0,458.747207076,0.0873048574,457.6647244436,0.9963625677,-0.0852152196,461.7729472668,NaN,NaN,NaN,0,0,544.1428571429,1,0,51587.6219563549,-100,39.99780014
