Set,Seq,Shape,ShapeName,startCos,startSin,DiagLen,DiagAngle,EndDist,EndCos,EndSin,PathLen,TotalRotSum,AbsRotSum,RotSquaredSum,AvgSpeed,TotalTime,AvgPressure,StrokeCount,Average Gsr Per Shape, Average Gsr Before Shapes,percent change from before shapes,Aspect (Absolute value of 45 degrees minus bounding box angle)
1,1,1,Line,1,0,1357.1949012577,0.0169475298,1356.0058996922,0.9999956492,-0.0029498397,1365.5925546091,NaN,NaN,NaN,682.7962773045,2,771.6866197183,0,0,10465.7205552772,-100,44.0289780693
1,1,2,Psi,-0.5547001962,0.8320502943,553.6614489018,0.8864647054,456.1951336873,0.4055282188,0.9140825257,1067.9170943754,NaN,NaN,NaN,355.9723647918,3,713.291005291,2,0,10465.7205552772,-100,5.7906863067
1,1,3,Pound,-0.4472135955,0.894427191,822.2633398127,0.6099289136,338.4346317976,-0.6293682147,-0.7771072322,2085.9563450626,NaN,NaN,NaN,297.9937635804,7,502.9681528662,6,0,10465.7205552772,-100,10.0536474477
-1,-1,-1,Infinity,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,0,-1.79769313486232E+308,-1,0,10465.7205552772,-100,#NUM!
1,1,4,Infinity,0,-1,342.4222539497,0.3799640778,110.0545319376,-0.9449860734,-0.3271105639,944.0734225344,1.3258176637,24.7614682261,8.33843578,472.0367112672,2,638.6666666667,1,0,10465.7205552772,-100,23.2296619755
1,2,1,Line,0.9965457582,-0.0830454799,1326.9804067883,0.03844259,1323.8704619411,0.9993424871,-0.0362573238,1333.4204698418,NaN,NaN,NaN,1333.4204698418,1,726.5426356589,1,0,10465.7205552772,-100,42.7974018394
1,2,2,Infinity,-0.894427191,-0.4472135955,708.661414217,0.4061888024,101.2422836566,-0.8395701572,-0.5432512782,1843.7612245795,NaN,NaN,NaN,1843.7612245795,1,573.4642857143,1,0,10465.7205552772,-100,21.727095937
1,2,3,Pound,0,1,807.5171824797,0.7836468517,467.9155906785,0.6176327649,0.7864666349,2163.2589914171,NaN,NaN,NaN,2163.2589914171,1,601.2476190476,4,0,10465.7205552772,-100,0.1003427689
1,2,4,Psi,0,-1,863.6000231589,0.9275268067,686.6738672762,0.2548516965,0.9669801512,1547.3150593713,NaN,NaN,NaN,1547.3150593713,1,580.5824175824,3,0,10465.7205552772,-100,8.1433714092
1,3,1,Infinity,-0.7071067812,-0.7071067812,713.8438204537,0.3399142633,86.4927742647,-0.9827410523,-0.184986551,1708.1647661298,0.3217505544,9.7541564069,2.1530973391,1708.1647661298,1,679.3636363636,1,0,10465.7205552772,-100,25.5243473166
1,3,2,Pound,-0.2940858488,-0.9557790087,534.7447989462,0.6794138054,294.3076621497,0.8868270642,-0.4621014587,1479.7620174549,NaN,NaN,NaN,739.8810087274,2,568.12,4,0,10465.7205552772,-100,6.0724564077
1,3,3,Line,1,0,987.7044092237,0.0587558227,987.1676655969,0.9988171558,-0.0486239589,990.2239379897,-1.38777878078145E-17,0.8231018575,0.0482744012,990.2239379897,1,631.7027027027,1,0,10465.7205552772,-100,41.6335393375
1,3,4,Psi,-0.316227766,0.9486832981,484.334595089,1.203326021,422.435793938,0.1988467862,0.9800305891,1027.4686747883,NaN,NaN,NaN,1027.4686747883,1,572.9682539683,2,0,10465.7205552772,-100,23.9455023816
1,3,5,Infinity,-0.894427191,-0.4472135955,387.299625613,0.4717305738,33.5410196625,-0.1788854382,-0.9838699101,989.8431224723,0.463647609,12.7452292586,4.025818894,989.8431224723,1,598.1780821918,1,0,10465.7205552772,-100,17.971829054
1,4,1,Line,-1,0,562.8543328429,0.0551043001,551.4000362713,0.9992745081,-0.0380848724,576.5127166958,NaN,NaN,NaN,0,0,409.0740740741,1,0,10465.7205552772,-100,41.8427561712
1,4,2,Pound,0.7071067812,0.7071067812,422.8593146662,0.7920870269,245.1224183954,0.8852719446,0.4650737405,957.2700104238,NaN,NaN,NaN,957.2700104238,1,564.0344827586,4,0,10465.7205552772,-100,0.3832436484
1,4,3,Infinity,-0.7071067812,-0.7071067812,358.9874649622,0.5060162537,49.9299509313,0.5407575913,-0.8411784754,1154.9469345329,NaN,NaN,NaN,577.4734672665,2,566.2781456954,3,0,10465.7205552772,-100,16.007404298
1,4,4,Psi,0,-1,406.3225319866,0.9780156026,347.5586281478,0.4287046499,0.9034446984,865.8101554065,NaN,NaN,NaN,865.8101554065,1,543.2179487179,2,0,10465.7205552772,-100,11.0361663269
1,4,5,Pound,-1,0,247.9516081819,1.1468390543,230.9328906847,0.342090725,-0.9396669282,459.247983821,NaN,NaN,NaN,0,0,582.5094339623,2,0,10465.7205552772,-100,20.7090375922
1,4,6,Psi,0.4472135955,-0.894427191,252.2102297687,0.7236788986,113.1459234794,0.8926525755,0.4507453599,650.0565547369,NaN,NaN,NaN,216.6855182456,3,548.0088495575,3,0,10465.7205552772,-100,3.5362533875
1,4,6,Psi,0,1,375.7565701355,1.0344845168,295.0406751619,0.3152107754,0.9490216895,741.5982504888,NaN,NaN,NaN,741.5982504888,1,577.7671232877,2,0,10465.7205552772,-100,14.2715967843
1,5,1,Pound,-1,0,294.2668856667,0.8599584844,140.9006742354,0.8374693779,0.5464842551,761.1502348996,NaN,NaN,NaN,761.1502348996,1,584.0918367347,4,0,10465.7205552772,-100,4.2719917126
1,5,2,Line,-0.894427191,0.4472135955,344.1583937666,0.2435692208,341.0058650522,0.9706577919,-0.2404650723,348.80369394,NaN,NaN,NaN,0,0,598.4347826087,1,0,10465.7205552772,-100,31.0445116289
1,5,3,Psi,-0.7071067812,0.7071067812,363.1666284228,0.9575889779,265.9266816248,0.3798039346,0.9250670091,788.4940929545,NaN,NaN,NaN,788.4940929545,1,555.8032786885,2,0,10465.7205552772,-100,9.8658069419
1,5,3,Psi,-1,0,458.8768898081,0.9089886321,346.9236227183,0.3862521639,0.9223932273,960.4451525464,NaN,NaN,NaN,960.4451525464,1,615.6842105263,2,0,10465.7205552772,-100,7.0812122447
1,5,4,Line,-0.9701425001,0.242535625,310.459337112,0.1259530755,303.0280515068,0.9933073803,-0.1155008582,319.578397869,2.8966139905,4.6654539726,5.3043769022,319.578397869,1,488.2916666667,1,0,10465.7205552772,-100,37.7834203572
1,5,5,Line,-0.9486832981,0.316227766,324.8907508687,0.1079379893,308.5611770784,0.9949404617,0.1004663007,345.3655099168,NaN,NaN,NaN,0,0,506.6428571429,1,0,10465.7205552772,-100,38.815608764
1,5,6,Infinity,-0.9701425001,-0.242535625,271.6210595664,0.4290650264,5.3851648071,-0.9284766909,-0.3713906764,627.0764915991,0.2449786631,12.0169853616,3.7143318852,627.0764915991,1,566.2051282051,1,0,10465.7205552772,-100,20.4163848506
1,5,7,Line,-0.9701425001,0.242535625,271.1549372591,0.0923293347,264.756491894,0.997142688,-0.0755411127,279.5462586963,3.0385110451,3.427533564,2.32373438,0,0,530.7894736842,1,0,10465.7205552772,-100,39.7099187964
1,6,1,Line,1,0,528.2281703961,0.0682052357,528.0956352783,0.997925309,-0.064382278,529.9776779827,NaN,NaN,NaN,0,0,581,1,0,10465.7205552772,-100,41.0921278537
1,6,2,Pound,0,1,456.829289779,0.9706510292,235.7159307302,0.767873429,0.6406015899,1056.1019649781,NaN,NaN,NaN,1056.1019649781,1,499.5375,4,0,10465.7205552772,-100,10.6142073532
