Set,Seq,Shape,ShapeName,startCos,startSin,DiagLen,DiagAngle,EndDist,EndCos,EndSin,PathLen,TotalRotSum,AbsRotSum,RotSquaredSum,AvgSpeed,TotalTime,AvgPressure,StrokeCount,Average Gsr Per Shape, Average Gsr Before Shapes,percent change from before shapes,Aspect (Absolute value of 45 degrees minus bounding box angle)
1,1,1,Line,1,0,627.8678204845,0.0525830616,627.8160558635,0.9987001673,-0.0509703435,632.5402341081,NaN,NaN,NaN,632.5402341081,1,524.2151898734,1,0,887.7693933236,-1,41.9872124964
1,1,2,Psi,-1,0,788.0006345175,0.4687553966,687.3958102869,-0.9208668289,0.3898772672,892.1575049249,NaN,NaN,NaN,223.0393762312,4,653.1038062284,2,0,887.7693933236,-1,18.1422941508
1,1,2,Psi,1,0,661.218572032,0.6177881689,459.8478009081,0.5567059351,0.8307096375,1211.8798349985,NaN,NaN,NaN,403.9599449995,3,601.7186440678,2,2146.3419914994,887.7693933236,1.4176796448,9.6033452889
1,1,3,Pound,-0.7071067812,0.7071067812,630.2769232647,0.5325285076,381.9214578942,0.895472074,0.4451176976,1661.7877427852,NaN,NaN,NaN,830.8938713926,2,397.7696335079,4,0,887.7693933236,-1,14.4883640441
1,1,4,Infinity,0,1,555.3395357797,0.309222736,105.6882207249,-0.8420995205,0.5393221648,1400.0923025634,NaN,NaN,NaN,1400.0923025634,1,555.6425120773,1,0,887.7693933236,-1,27.2828422977
1,2,1,Line,1,0,808.0154701489,0.0061880398,808.0006188116,0.9999992341,0.0012376228,809.3655654051,NaN,NaN,NaN,809.3655654051,1,432.1067961165,1,0,887.7693933236,-1,44.645451436
1,2,2,Infinity,-0.8,0.6,446.0549293529,0.4104848984,46.9574275275,-0.4472135955,0.894427191,1115.4197601749,-0.3217505544,12.282857725,2.5588203627,1115.4197601749,1,490.6890756303,1,0,887.7693933236,-1,21.4809477678
1,2,3,Pound,0,-1,591.1860959123,0.5302660923,288.6468430453,0.8106792284,0.5854905538,1581.3263523336,NaN,NaN,NaN,527.1087841112,3,375.0352941176,4,-1625.9125029265,887.7693933236,-2.8314581637,14.6179908923
1,2,4,Psi,-0.7071067812,0.7071067812,553.9539692068,0.6792517659,395.1328890386,0.4783200924,0.8781855665,1016.0849896158,NaN,NaN,NaN,508.0424948079,2,484.9397590361,2,0,887.7693933236,-1,6.0817405871
1,3,1,Infinity,0,1,367.6805678847,0.3759609539,77.7946013551,-0.6941355706,0.7198442954,929.388984479,NaN,NaN,NaN,929.388984479,1,451.2878787879,1,0,887.7693933236,-1,23.4590240798
1,3,2,Pound,-1,0,417.0623454593,0.7328151018,208.5689334489,0.354798765,0.9349426915,838.9383516402,NaN,NaN,NaN,838.9383516402,1,504.5857142857,2,0,887.7693933236,-1,3.0127875034
1,3,2,Pound,0,-1,460.4052562689,0.592219446,221.2374290214,0.8542858269,0.5198035455,1174.2596532279,NaN,NaN,NaN,587.1298266139,2,408.8047337278,4,0,887.7693933236,-1,11.0683251986
1,3,3,Line,0.7071067812,0.7071067812,647.7074957108,0.0726274508,647.5654407085,0.9975825753,-0.0694910463,650.8097372668,1.5707963268,6.4542460438,2.256758119,650.8097372668,1,458.2298850575,1,0,887.7693933236,-1,40.8387535924
1,3,4,Psi,-1,0,475.3104248804,0.7615931372,344.702770514,0.324917609,0.9457423261,882.4934053457,NaN,NaN,NaN,441.2467026729,2,470.390070922,2,0,887.7693933236,-1,1.3639275323
1,3,4,Psi,-0.7071067812,-0.7071067812,319.6623218335,0.7677008961,242.4231837098,0.4620020177,0.8868788732,592.4500960663,NaN,NaN,NaN,592.4500960663,1,409.0078125,2,0,887.7693933236,-1,1.0139787251
1,3,5,Infinity,0,1,361.382069284,0.4772606294,18.4390889146,0.2169304578,0.9761870602,857.3181735438,NaN,NaN,NaN,857.3181735438,1,412.5535714286,1,0,887.7693933236,-1,17.6549802076
1,4,1,Line,1,0,125.0639836244,0.031989084,125.0639836244,0.9994883929,-0.0319836286,125.7941540208,NaN,NaN,NaN,0,0,506.7872340426,1,0,887.7693933236,-1,43.1671604963
1,4,2,Pound,1,0,365.406622819,0.6495218352,194.8127305902,0.9444967967,0.3285206249,935.3205047844,NaN,NaN,NaN,467.6602523922,2,368.1610169492,4,0,887.7693933236,-1,7.7851401414
1,4,3,Infinity,-1,0,254.6723385058,0.5040474078,44.2040722106,-0.6108034543,0.7917822556,654.8077029667,NaN,NaN,NaN,0,0,417.393258427,1,0,887.7693933236,-1,16.1202108586
1,4,4,Psi,0,-1,278.6000717875,0.928013093,210.7747612975,0.4791845066,0.8777141953,535.9499433459,NaN,NaN,NaN,535.9499433459,1,438.0970873786,2,1762.820333792,887.7693933236,0.9856736975,8.1712335618
1,4,5,Pound,-1,0,323.630962672,0.73074804,154.3016526159,0.7776974385,0.6286387628,844.210852856,NaN,NaN,NaN,422.105426428,2,358.9035087719,4,989.2682204905,887.7693933236,0.1143301717,3.1312214205
1,4,6,Psi,-1,0,291.8098696069,0.9190705919,229.4275484766,0.4402261222,0.8978869424,557.4226919504,NaN,NaN,NaN,557.4226919504,1,407.7745098039,2,0,887.7693933236,-1,7.6588659905
1,5,1,Pound,0.7071067812,0.7071067812,351.4043255283,0.5848455501,209.5757619573,0.854106402,0.5200983119,913.6729862371,NaN,NaN,NaN,456.8364931185,2,349.1625,4,0,887.7693933236,-1,11.4908183123
1,5,2,Line,1,0,361.1661667432,0.0803819839,358.1759344233,0.9967168804,-0.080965797,364.7710523063,NaN,NaN,NaN,364.7710523063,1,386.3818181818,1,0,887.7693933236,-1,40.3944515736
1,5,3,Psi,-0.7071067812,0.7071067812,278.6574958619,0.8056999423,217.4626404696,0.3816747549,0.9242966956,549.8204059686,NaN,NaN,NaN,549.8204059686,1,409.0319148936,2,0,887.7693933236,-1,1.1632062477
1,5,4,Line,1,0,397.5437082888,0.0881547683,387.4945160902,0.9961431297,-0.0877431772,409.5733906926,NaN,NaN,NaN,0,0,451.5,1,-1833.0009407188,887.7693933236,-3.0647264419,39.9491038325
1,5,5,Line,1,0,345.6848275525,0.1247138033,340.7242286659,0.9920045936,-0.1262017678,351.7341687456,NaN,NaN,NaN,0,0,404.8035714286,1,0,887.7693933236,-1,37.8544254239
1,5,6,Infinity,-0.8320502943,0.5547001962,248.4673016717,0.3879800795,18.7882942281,-0.9048187022,0.4257970363,610.222376059,1.27675647831893E-15,12.671611915,3.5291411215,610.222376059,1,385.476744186,1,0,887.7693933236,-1,22.7703789095
1,5,7,Line,0.894427191,0.4472135955,349.6569747624,0.0973920486,344.5838069324,0.9954037105,-0.0957677039,355.5398198658,NaN,NaN,NaN,0,0,416.568627451,1,0,887.7693933236,-1,39.4198466571
1,6,1,Line,0.7071067812,0.7071067812,340.6024075076,0.097039386,337.5203697557,0.9954954726,-0.0948090926,344.9965996863,NaN,NaN,NaN,344.9965996863,1,435.3333333333,1,0,887.7693933236,-1,39.4400527357
1,6,2,Pound,-0.7071067812,-0.7071067812,314.4280521836,0.6568590928,177.3696704626,0.8682431421,0.4961389384,866.1540574494,NaN,NaN,NaN,433.0770287247,2,359.7222222222,4,0,887.7693933236,-1,7.3647462478
