Average Gsr Per Shape, Average Gsr Before Shapes,percent change from before shapes
0,7853.4246885058,-100
0,7853.4246885058,-100
119.2386641241,7853.4246885058,-98.4816985092
0,7853.4246885058,-100
17.8375852191,7853.4246885058,-99.7728687047
0,7853.4246885058,-100
26.3083355703,7853.4246885058,-99.6650081128
-382.5943779847,7853.4246885058,-104.87168838
173.6991100199,7853.4246885058,-97.7882374008
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
26.0797675771,7853.4246885058,-99.6679185373
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
223.004045185,7853.4246885058,-97.1604229488
366.9920419206,7853.4246885058,-95.3269808208
394.7777596613,7853.4246885058,-94.9731769856
0,7853.4246885058,-100
116.8101659779,7853.4246885058,-98.5126213008
1024.8509969136,7853.4246885058,-86.9502664435
0,7853.4246885058,-100
1022.9396256941,7853.4246885058,-86.9746045035
0,7853.4246885058,-100
1272.5878321401,7853.4246885058,-83.7957593965
0,7853.4246885058,-100
0,7853.4246885058,-100
122.0411663919,7853.4246885058,-98.4460134116
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
18.2673234142,7853.4246885058,-99.76739672
1328.2586767834,7853.4246885058,-83.0868859196
-286.9502845652,7853.4246885058,-103.6538235986
906.6842394161,7853.4246885058,-88.4549190273
24.7324566502,7853.4246885058,-99.6850742494
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
867.6473874874,7853.4246885058,-88.9519869114
568.4797467587,7853.4246885058,-92.7613777517
275.1879942473,7853.4246885058,-96.4959491539
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
688.2434664015,7853.4246885058,-91.2363905723
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
-94.8184258057,7853.4246885058,-101.2073513094
0,7853.4246885058,-100
0,7853.4246885058,-100
259.5822526188,7853.4246885058,-96.6946617187
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
15.1639449913,7853.4246885058,-99.8069129635
0,7853.4246885058,-100
284.3937291244,7853.4246885058,-96.3787297847
-5.0407428143,7853.4246885058,-100.0641852824
492.4253364804,7853.4246885058,-93.7298012522
0,7853.4246885058,-100
0,7853.4246885058,-100
71.9755016531,7853.4246885058,-99.0835144602
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
483.278561763,7853.4246885058,-93.846269864
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
0,7853.4246885058,-100
