Average Gsr Per Shape, Average Gsr Before Shapes,percent change from before shapes
0,887.7693933236,-1
0,887.7693933236,-1
2146.3419914994,887.7693933236,1.4176796448
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
-1625.9125029265,887.7693933236,-2.8314581637
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
1762.820333792,887.7693933236,0.9856736975
989.2682204905,887.7693933236,0.1143301717
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
-1833.0009407188,887.7693933236,-3.0647264419
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
-6683.6609886739,887.7693933236,-8.5286003763
0,887.7693933236,-1
231.8070420835,887.7693933236,-0.738888225
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
-631.5773235097,887.7693933236,-1.711420475
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
974.3308636644,887.7693933236,0.0975044544
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
772.0410967352,887.7693933236,-0.1303585114
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
2381.3494044056,887.7693933236,1.6823963772
0,887.7693933236,-1
1534.9469013601,887.7693933236,0.7289928138
0,887.7693933236,-1
0,887.7693933236,-1
1451.2663314628,887.7693933236,0.6347334594
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
861.475393507,887.7693933236,-0.0296180517
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
32.0694753113,887.7693933236,-0.963876345
2155.6918240214,887.7693933236,1.4282114705
31.9929359597,887.7693933236,-0.9639625603
32.0695059029,887.7693933236,-0.9638763105
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
-8605851.97934516,887.7693933236,-9694.7921537563
1856.627735123,887.7693933236,1.0913401037
438.178941425,887.7693933236,-0.5064270691
31.9548031265,887.7693933236,-0.9640055139
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
31.9548031265,887.7693933236,-0.9640055139
32.1078824852,887.7693933236,-0.9638330824
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
2097.9728127899,887.7693933236,1.3631956999
31.8413523215,887.7693933236,-0.964133307
0,887.7693933236,-1
31.6903974927,887.7693933236,-0.9643033453
-1110.1243339254,887.7693933236,-2.2504647516
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
133.1174234631,887.7693933236,-0.8500540518
963.8392059906,887.7693933236,0.0856864556
0,887.7693933236,-1
-7757.2617991332,887.7693933236,-9.73792435
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
0,887.7693933236,-1
9198.0762336049,887.7693933236,9.3608845977
17.1638166149,887.7693933236,-0.9806663569
1702.5664301434,887.7693933236,0.9178025768
0,887.7693933236,-1
0,887.7693933236,-1
-4549.0943542746,887.7693933236,-6.1241847134
973.4491388008,887.7693933236,0.0965112631
30.8516283489,887.7693933236,-0.9652481505
0,887.7693933236,-1
19.8127510886,887.7693933236,-0.9776825477
30.745485794,887.7693933236,-0.9653677115
0,887.7693933236,-1
0,887.7693933236,-1
