Average Gsr Per Shape, Average Gsr Before Shapes,percent change from before shapes
927.3800234553,67992.8854769668,-98.6360631455
27.3014434273,67992.8854769668,-99.9598466174
-417.7394098889,67992.8854769668,-100.614386942
68.9379420646,67992.8854769668,-99.8986100655
141.3635292364,67992.8854769668,-99.7920907044
0,67992.8854769668,-100
-3634.6952282338,67992.8854769668,-105.3456993371
385.4942855843,67992.8854769668,-99.4330373202
-654.8466279388,67992.8854769668,-100.9631105127
162.3367951213,67992.8854769668,-99.7612444391
225.9395773627,67992.8854769668,-99.6677011488
747.9619899422,67992.8854769668,-98.8999408031
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
2066.8471477516,67992.8854769668,-96.9602008604
267.8302055878,67992.8854769668,-99.6060908377
24.9784263045,67992.8854769668,-99.9632631765
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
-740.6512033356,67992.8854769668,-101.0893069152
969.5792822215,67992.8854769668,-98.5739989185
0,67992.8854769668,-100
19.4858664468,67992.8854769668,-99.9713413156
422.3119328311,67992.8854769668,-99.3788880559
0,67992.8854769668,-100
0,67992.8854769668,-100
13.2661176778,67992.8854769668,-99.9804889621
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
22.8949260265,67992.8854769668,-99.9663274681
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
15.1897195978,67992.8854769668,-99.9776598397
-398.1286231217,67992.8854769668,-100.5855445321
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
1148.1589320415,67992.8854769668,-98.3113543072
0,67992.8854769668,-100
330.3557064384,67992.8854769668,-99.5141319505
-615.0080738837,67992.8854769668,-100.9045182736
0,67992.8854769668,-100
-295.1428961892,67992.8854769668,-100.4340790865
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
179.7281300251,67992.8854769668,-99.7356662704
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
764.9416237144,67992.8854769668,-98.8749681406
3108.0165289965,67992.8854769668,-95.4289092054
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
80.5804653512,67992.8854769668,-99.8814869162
-79.7152418447,67992.8854769668,-100.1172405632
13.6583137113,67992.8854769668,-99.9799121428
-94.6509690097,67992.8854769668,-100.1392071661
878.5085290557,67992.8854769668,-98.7079405104
242.5940246978,67992.8854769668,-99.6432067517
-83.9636318125,67992.8854769668,-100.1234888492
0,67992.8854769668,-100
509.3123424832,67992.8854769668,-99.2509328897
-322.2847048704,67992.8854769668,-100.4739976876
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
0,67992.8854769668,-100
