Timestamp_Unix, Timestamp_Hour, Timestamp_Minute, Timestamp_Second, Timestamp_Millisecond, Current_Internal_ADC_A13_Raw, Current_Internal_ADC_A13_Cal, Current_GSR_Raw, Current_GSR_Calculated
1450114449, 17, 34, 9, 261, 2255, 1652.01465201465, 17970, 198.216055500496
1450114449, 17, 34, 9, 589, 2281, 1671.06227106227, 17896, 215.266715460456
1450114449, 17, 34, 9, 620, 65033, 47643.2234432234, 58888, 2485.36616402621
1450114450, 17, 34, 10, 26, 219, 160.43956043956, 38259, 929.195316855603
1450114450, 17, 34, 10, 42, 39859, 29200.7326007326, 46979, 535.27459586768
1450114450, 17, 34, 10, 42, 54016, 39572.1611721612, 33696, 2661.69816342827
1450114450, 17, 34, 10, 167, 51187, 37499.6336996337, 44419, 239.681702698816
1450114450, 17, 34, 10, 292, 1960, 1435.89743589744, 1302, 42.4212343730778
1450114450, 17, 34, 10, 854, 33860, 24805.8608058608, 1953, 20.8962833870368
1450114450, 17, 34, 10, 933, 38020, 27853.4798534799, 10503, 16.3375200951497
1450114450, 17, 34, 10, 933, 33910, 24842.4908424908, 1939, 21.1268200755495
1450114451, 17, 34, 11, 58, 5130, 3758.24175824176, 14089, 23.7046589136629
1450114451, 17, 34, 11, 104, 35204, 25790.4761904762, 9223, 74.2677202780583
1450114451, 17, 34, 11, 104, 34003, 24910.6227106227, 1927, 21.3285102462163
1450114451, 17, 34, 11, 120, 54387, 39843.956043956, 34948, 443.714780139326
1450114451, 17, 34, 11, 136, 35716, 26165.5677655678, 9479, 43.4525671776689
1450114451, 17, 34, 11, 136, 34009, 24915.0183150183, 1932, 21.2440065346564
1450114452, 17, 34, 12, 323, 13587, 9953.84615384615, 37253, -2310.53604436229
1450114452, 17, 34, 12, 323, 29440, 21567.7655677656, 34101, 1017.08706265256
1450114454, 17, 34, 14, 9, 19507, 14290.8424908425, 36230, 239.423468288362
1450114463, 17, 34, 23, 853, 1949, 1427.83882783883, 1350, 39.426735269186
1450114463, 17, 34, 23, 868, 34737, 25448.3516483516, 1946, 21.0109193747991
1450114467, 17, 34, 27, 228, 2304, 1687.91208791209, 17922, 208.951481466004
1450114467, 17, 34, 27, 400, 35020, 25655.6776556777, 1953, 20.8962833870368
1450114467, 17, 34, 27, 837, 47755, 34985.347985348, 16647, -476.371951219512
1450114468, 17, 34, 28, 478, 44941, 32923.8095238095, 18183, 161.415289256198
1450114468, 17, 34, 28, 978, 36403, 26668.8644688645, 45453, -2376.42585551331
1450114468, 17, 34, 28, 978, 37632, 27569.2307692308, 36238, 238.737555804904
1450114470, 17, 34, 30, 681, 36434, 26691.5750915751, 1982, 20.4343943552029
1450114471, 17, 34, 31, 494, 54016, 39572.1611721612, 36541, 215.368711233632
1450114472, 17, 34, 32, 509, 37632, 27569.2307692308, 36722, 203.471218996073
1450114472, 17, 34, 32, 665, 36765, 26934.0659340659, 1975, 20.5440052592653
1450114472, 17, 34, 32, 665, 42035, 30794.8717948718, 47503, 376.761359354985
1450114474, 17, 34, 34, 494, 19667, 14408.0586080586, 50576, 2876.38008716582
1450114474, 17, 34, 34, 494, 13056, 9564.83516483516, 36941, -1110.1243339254
1450114484, 17, 34, 44, 306, 1974, 1446.15384615385, 1361, 38.7990905493175
1450114484, 17, 34, 44, 728, 61961, 45392.673992674, 63240, 1926.63378545006
1450114485, 17, 34, 45, 134, 105, 76.9230769230769, 48243, 265.660698156315
1450114485, 17, 34, 45, 572, 116, 84.981684981685, 7347, 10.3873656394255
1450114485, 17, 34, 45, 650, 37418, 27412.4542124542, 1969, 20.6388977177507
1450114486, 17, 34, 46, 25, 62835, 46032.967032967, 46738, 663.702130483839
1450114486, 17, 34, 46, 900, 2287, 1675.45787545788, 17940, 204.792135981978
1450114487, 17, 34, 47, 197, 5939, 4350.91575091575, 45716, -38022.8136882129
1450114487, 17, 34, 47, 322, 55283, 40500.3663003663, 45972, 2795.63880346659
1450114488, 17, 34, 48, 9, 2248, 1646.88644688645, 18012, 189.68853143139
1450114488, 17, 34, 48, 634, 47767, 34994.1391941392, 21767, 291.511194029851
1450114488, 17, 34, 48, 634, 38701, 28352.380952381, 1977, 20.5125680504445
1450114489, 17, 34, 49, 463, 13056, 9564.83516483516, 38847, 510.673067102441
1450114489, 17, 34, 49, 478, 13056, 9564.83516483516, 38873, 500.700981373923
1450114492, 17, 34, 52, 259, 39157, 28686.4468864469, 1991, 20.2951729960546
1450114492, 17, 34, 52, 728, 23539, 17244.6886446886, 50585, 2842.83608150297
1450114492, 17, 34, 52, 744, 21248, 15566.3003663004, 39260, 387.942739651627
1450114492, 17, 34, 52, 791, 1993, 1460.07326007326, 1379, 37.8140456491159
1450114494, 17, 34, 54, 25, 44697, 32745.0549450549, 24583, -287.224264705882
1450114494, 17, 34, 54, 25, 39399, 28863.7362637363, 1964, 20.718646989477
1450114495, 17, 34, 55, 181, 2057, 1506.95970695971, 4873, 250.588883877111
1450114500, 17, 35, 0, 181, 57939, 42446.1538461538, 43418, 374.433669075523
1450114502, 17, 35, 2, 150, 57866, 42392.673992674, 2312, 16.3275702452891
1450114508, 17, 35, 8, 338, 40203, 29452.7472527472, 1990, 20.3105482832509
1450114508, 17, 35, 8, 353, 6131, 4491.57509157509, 50589, 2828.17747153015
1450114508, 17, 35, 8, 494, 41715, 30560.4395604396, 45981, 2693.96551724138
1450114508, 17, 35, 8, 494, 2003, 1467.39926739927, 1373, 38.1367890349104
1450114508, 17, 35, 8, 588, 40779, 29874.7252747253, 2003, 20.1124689262355
1450114509, 17, 35, 9, 10, 63497, 46517.9487179487, 63240, 1926.63378545006
1450114509, 17, 35, 9, 119, 41358, 30298.9010989011, 1947, 20.9944658587996
1450114511, 17, 35, 11, 682, 23891, 17502.5641025641, 41122, -1293.15918789603
1450114512, 17, 35, 12, 275, 9491, 6953.11355311355, 42659, 652.656311186529
1450114512, 17, 35, 12, 291, 10611, 7773.62637362637, 42659, 652.656311186529
1450114512, 17, 35, 12, 353, 54016, 39572.1611721612, 41769, 5070.9939148073
1450114512, 17, 35, 12, 432, 41817, 30635.1648351648, 1956, 20.8475357170406
1450114512, 17, 35, 12, 463, 41852, 30660.8058608059, 1957, 20.8313369968711
1450114512, 17, 35, 12, 478, 42147, 30876.9230769231, 4615, -177.531600624911
1450114512, 17, 35, 12, 478, 41862, 30668.1318681319, 1956, 20.8475357170406
1450114515, 17, 35, 15, 416, 42144, 30874.7252747253, 1984, 20.4032914589782
1450114515, 17, 35, 15, 744, 48804, 35753.8461538461, 14855, 14.1327574705756
1450114515, 17, 35, 15, 760, 42207, 30920.8791208791, 1985, 20.3877754898163
1450114523, 17, 35, 23, 197, 41482, 30389.7435897436, 1544, 30.6751289122293
1450114524, 17, 35, 24, 166, 1971, 1443.95604395604, 1310, 41.8909578367509
1450114524, 17, 35, 24, 166, 64755, 47439.5604395604, 49062, 200.292426943337
1450114525, 17, 35, 25, 854, 43155, 31615.3846153846, 1975, 20.5440052592653
1450114526, 17, 35, 26, 182, 60787, 44532.6007326007, 50600, 2788.63486284378
1450114530, 17, 35, 30, 197, 1970, 1443.22344322344, 1327, 40.8069992165056
1450114530, 17, 35, 30, 197, 33290, 24388.2783882784, 64776, 820.244419713164
1450114530, 17, 35, 30, 276, 43875, 32142.8571428571, 1970, 20.6230214788769
1450114530, 17, 35, 30, 588, 13395, 9813.18681318681, 45740, 103092.783505154
1450114530, 17, 35, 30, 604, 54016, 39572.1611721612, 44084, 272.501839387416
1450114530, 17, 35, 30, 682, 44098, 32306.2271062271, 1979, 20.4812269074167
1450114530, 17, 35, 30, 682, 17427, 12767.032967033, 48044, 288.541997287705
1450114530, 17, 35, 30, 682, 29440, 21567.7655677656, 44100, 270.731245092996
1450114531, 17, 35, 31, 72, 34483, 25262.2710622711, 46252, 1285.84287000129
1450114531, 17, 35, 31, 72, 4864, 3563.36996336996, 44167, 263.560170786991
1450114531, 17, 35, 31, 854, 13011, 9531.86813186813, 47533, 370.480142264375
1450114534, 17, 35, 34, 682, 44641, 32704.0293040293, 1984, 20.4032914589782
1450114534, 17, 35, 34, 729, 44671, 32726.0073260073, 1978, 20.4968854982485
1450114546, 17, 35, 46, 338, 13715, 10047.619047619, 50353, 4064.77957919776
1450114550, 17, 35, 50, 838, 2329, 1706.22710622711, 17926, 208.012647168948
1450114551, 17, 35, 51, 338, 1954, 1431.50183150183, 1296, 42.8278363805339
1450114551, 17, 35, 51, 401, 42934, 31453.4798534799, 3847, 8.43870462508523
1450114551, 17, 35, 51, 401, 46701, 34213.1868131868, 1959, 20.7990149586516
1450114551, 17, 35, 51, 979, 47626, 34890.8424908425, 1948, 20.9780380919216
1450114555, 17, 35, 55, 57, 43192, 31642.4908424908, 5895, 23.7466517221072
1450114555, 17, 35, 55, 88, 31923, 23386.8131868132, 43704, 322.611865664419
1450114555, 17, 35, 55, 88, 4864, 3563.36996336996, 47229, 445.791726105564
1450114560, 17, 36, 0, 823, 47540, 34827.8388278388, 1945, 21.0273987005068
1450114565, 17, 36, 5, 948, 2255, 1652.01465201465, 17970, 198.216055500496
1450114570, 17, 36, 10, 245, 48162, 35283.5164835165, 1966, 20.6866734381044
1450114570, 17, 36, 10, 448, 57875, 42399.2673992674, 1468, 33.5966188362803
1450114570, 17, 36, 10, 448, 48420, 35472.5274725275, 1971, 20.6071696464634
1450114570, 17, 36, 10, 557, 61450, 45018.315018315, 30216, 207.546386617409
1450114570, 17, 36, 10, 636, 58259, 42680.5860805861, 46269, 1245.01992031872
1450114571, 17, 36, 11, 89, 59219, 43383.8827838828, 44478, 234.703217781116
1450114571, 17, 36, 11, 182, 1973, 1445.42124542125, 1309, 41.9565162665414
1450114571, 17, 36, 11, 792, 45824, 33570.695970696, 49323, -4475.10988632326
1450114571, 17, 36, 11, 807, 2253, 1650.54945054945, 18103, 173.514714047751
1450114571, 17, 36, 11, 885, 57203, 41906.9597069597, 53952, 51326.2708384659
1450114572, 17, 36, 12, 792, 50881, 37275.4578754579, 8967, 255.362614913177
1450114572, 17, 36, 12, 792, 49480, 36249.0842490842, 1993, 20.2644921515622
1450114572, 17, 36, 12, 839, 27123, 19870.3296703297, 53953, 50152.9665479712
1450114572, 17, 36, 12, 839, 21248, 15566.3003663004, 49514, -7331.35679954018
1450114574, 17, 36, 14, 120, 49703, 36412.4542124542, 2001, 20.1426908217815
1450114575, 17, 36, 15, 276, 43923, 32178.021978022, 54466, 3940.6630717311
1450114575, 17, 36, 15, 292, 62208, 45573.6263736264, 49835, 100893.920132373
1450114575, 17, 36, 15, 323, 50355, 36890.1098901099, 53186, 650.492305586714
1450114575, 17, 36, 15, 589, 49920, 36571.4285714286, 1999, 20.1730036795559
1450114587, 17, 36, 27, 870, 4864, 3563.36996336996, 50444, 3478.33830040043
1450114589, 17, 36, 29, 823, 50715, 37153.8461538461, 2023, 19.8151641488198
1450114590, 17, 36, 30, 480, 50803, 37218.315018315, 2023, 19.8151641488198
1450114590, 17, 36, 30, 901, 32723, 23972.8937728938, 60360, 931.712203790056
1450114590, 17, 36, 30, 980, 2382, 1745.05494505494, 18030, 186.254423542559
1450114591, 17, 36, 31, 323, 57171, 41883.5164835165, 61129, 702.3443552233
1450114591, 17, 36, 31, 542, 2020, 1479.85347985348, 1336, 40.2555421817699
1450114591, 17, 36, 31, 558, 32147, 23550.9157509157, 59082, 2037.57118254926
1450114594, 17, 36, 34, 667, 2259, 1654.94505494505, 8396, -57.5297860467257
1450114596, 17, 36, 36, 386, 7923, 5804.3956043956, 10445, 16.9361203412967
1450114596, 17, 36, 36, 417, 8115, 5945.05494505494, 9933, 25.0326676312588
1450114604, 17, 36, 44, 589, 5129, 3757.50915750916, 27401, 85.2108115477692
1450114604, 17, 36, 44, 620, 7886, 5777.28937728938, 61959, -15422.6262264843
1450114605, 17, 36, 45, 620, 6608, 4841.02564102564, 519, -177.531600624911
1450114605, 17, 36, 45, 652, 21619, 15838.0952380952, 12752, -130.135471025337
1450114605, 17, 36, 45, 933, 13264, 9717.21611721612, 62215, 19288.2630919086
1450114608, 17, 36, 48, 511, 53787, 39404.3956043956, 1851, 22.7010633178058
1450114608, 17, 36, 48, 745, 54006, 39564.8351648352, 1847, 22.7782130947391
1450114610, 17, 36, 50, 402, 19209, 14072.5274725275, 21257, 1478.41513897102
1450114613, 17, 36, 53, 636, 14550, 10659.3406593407, 56327, 907.434264100757
1450114624, 17, 37, 4, 42, 2331, 1707.69230769231, 18053, 182.043253477026
1450114629, 17, 37, 9, 714, 54026, 39579.4871794872, 60680, 820.244419713164
1450114632, 17, 37, 12, 105, 8969, 6570.69597069597, 4873, 250.588883877111
1450114634, 17, 37, 14, 121, 1864, 1365.56776556777, 1260, 45.4411196691887
1450114634, 17, 37, 14, 371, 63603, 46595.6043956044, 20703, -431.928127159641
1450114634, 17, 37, 14, 605, 6067, 4444.68864468864, 19936, 63.8512521230541
1450114636, 17, 37, 16, 105, 57530, 42146.5201465201, 1905, 21.7084554433952
1450114636, 17, 37, 16, 152, 55923, 40969.2307692308, 27616, 77.5398166958733
1450114636, 17, 37, 16, 558, 12819, 9391.20879120879, 1250, 46.2246053574318
1450114637, 17, 37, 17, 230, 30689, 22482.7838827839, 7, -40.4360624979782
1450114644, 17, 37, 24, 293, 59402, 43517.9487179487, 59656, 1329.063318703
1450114648, 17, 37, 28, 933, 22756, 16671.0622710623, 57863, -15422.6262264843
1450114649, 17, 37, 29, 387, 49139, 35999.2673992674, 24549, 54.1911429995882
1450114650, 17, 37, 30, 402, 58951, 43187.5457875458, 1888, 22.0114503564754
1450114650, 17, 37, 30, 590, 47114, 34515.7509157509, 53512, -5522.76261840803
1450114656, 17, 37, 36, 543, 26858, 19676.1904761905, 56583, 820.551197061114
1450114656, 17, 37, 36, 934, 27371, 20052.0146520147, 58119, 19288.2630919086
1450114662, 17, 37, 42, 481, 1906, 1396.336996337, 1242, 46.8711184855004
1450114668, 17, 37, 48, 215, 1919, 1405.86080586081, 1247, 46.4649468441008
1450114668, 17, 37, 48, 574, 37632, 27569.2307692308, 61371, 651.845184682733
1450114669, 17, 37, 49, 559, 32752, 23994.1391941392, 56583, 820.551197061114
1450114670, 17, 37, 50, 387, 62473, 45767.7655677656, 44552, 228.743966877874
1450114670, 17, 37, 50, 590, 45578, 33390.4761904762, 44040, 277.492577073563
1450114670, 17, 37, 50, 637, 1923, 1408.79120879121, 1243, 46.7893170631281
1450114670, 17, 37, 50, 637, 61936, 45374.358974359, 1923, 21.3965987966553
1450114671, 17, 37, 51, 246, 36338, 26621.2454212454, 54535, 3506.1318740345
1450114671, 17, 37, 51, 262, 62124, 45512.0879120879, 1933, 21.2271860817586
1450114671, 17, 37, 51, 293, 62151, 45531.8681318681, 1927, 21.3285102462163
1450114674, 17, 37, 54, 137, 62552, 45825.641025641, 1935, 21.1936249576128
1450114675, 17, 37, 55, 74, 53779, 39398.5347985348, 34548, 604.70460180202
1450114675, 17, 37, 55, 90, 54803, 40148.7179487179, 34804, 490.749374294548
1450114675, 17, 37, 55, 106, 55507, 40664.4688644689, 35060, 412.933063550398
1450114675, 17, 37, 55, 106, 13056, 9564.83516483516, 62681, 3784.32668124389
1450114685, 17, 38, 5, 512, 19763, 14478.3882783883, 30198, 211.819529760644
1450114687, 17, 38, 7, 731, 62963, 46126.7399267399, 33014, -1544.87872701993
1450114688, 17, 38, 8, 387, 2369, 1735.53113553114, 18289, 147.76287014599
1450114690, 17, 38, 10, 137, 53002, 38829.304029304, 18334, 142.641143411406
1450114691, 17, 38, 11, 715, 31891, 23363.36996337, 28155, 63.2623108456906
1450114691, 17, 38, 11, 762, 4864, 3563.36996336996, 64381, 962.364058858956
1450114693, 17, 38, 13, 637, 65053, 47657.8754578755, 1895, 21.8856692637661
1450114693, 17, 38, 13, 872, 15795, 11571.4285714286, 27902, 69.2472820441798
1450114693, 17, 38, 13, 872, 4864, 3563.36996336996, 65086, 735.052631238502
1450114696, 17, 38, 16, 168, 25599, 18753.8461538462, 7943, 8.43870462508523
1450114696, 17, 38, 16, 231, 33279, 24380.2197802198, 12295, -40.4360624979782
1450114696, 17, 38, 16, 231, 65373, 47892.3076923077, 1919, 21.4651234673902
1450114697, 17, 38, 17, 59, 65486, 47975.0915750916, 1918, 21.482323270297
1450114697, 17, 38, 17, 278, 30207, 22129.6703296703, 8711, -177.531600624911
1450114697, 17, 38, 17, 278, 65519, 47999.2673992674, 1908, 21.6558495698065
1450114710, 17, 38, 30, 856, 24307, 17807.326007326, 22274, 162.121850783049
1450114710, 17, 38, 30, 903, 9225, 6758.24175824176, 64521, 906.684239416139
