Set,Seq,Shape,ShapeName,startCos,startSin,DiagLen,DiagAngle,EndDist,EndCos,EndSin,PathLen,TotalRotSum,AbsRotSum,RotSquaredSum,AvgSpeed,TotalTime,AvgPressure,StrokeCount,Average Gsr Per Shape, Average Gsr Before Shapes,percent change from before shapes,Aspect (Absolute value of 45 degrees minus bounding box angle)
-1,-1,-1,@,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,-1.79769313486232E+308,0,-1.79769313486232E+308,-1,0,7853.4246885058,-100,#NUM!
2,1,2,@,0,1,291.2198482247,0.6318258151,126.1784450689,0.9510340687,0.3090860723,852.5993177463,14.7251695447,18.8541395027,7.6120721116,852.5993177463,1,704.7155963303,1,0,7853.4246885058,-100,8.7990474074
2,2,3,@,-0.8320502943,-0.5547001962,249.5515978711,0.456479273,167.764716195,0.995441734,-0.0953716631,672.6816396628,12.4796322757,13.1859934965,3.680012727,672.6816396628,1,712.1046511628,1,0,7853.4246885058,-100,18.8456642219
2,2,3,@,0,-1,409.1063431432,0.5051991714,204.3624231604,0.9395073567,0.3425287238,1086.2153834719,10.7587255266,16.6505782502,6.1667246642,1086.2153834719,1,714.1923076923,1,15.1639449913,7853.4246885058,-99.8069129635,16.0542196653
2,3,2,@,1,0,416.4252634027,0.4819055155,260.7680962081,0.9970544855,0.0766964989,1120.4614641742,13.8559347392,18.2563405704,6.4314850711,1120.4614641742,1,679.0957446809,1,-5.0407428143,7853.4246885058,-100.0641852824,17.3888478378
2,4,6,@,-1,0,370.1580743412,0.3995708007,178.353581405,0.9475559653,0.3195898818,1035.267589394,16.7495128139,17.9680647931,7.877091311,1035.267589394,1,649.1818181818,1,0,7853.4246885058,-100,22.1062795032
2,5,2,@,0,-1,381.9136027952,0.5916336697,172.2556240011,0.9636840653,0.2670449819,1058.9038629945,13.0734691188,16.7742073801,5.5168138283,1058.9038629945,1,617.8351648352,1,0,7853.4246885058,-100,11.1018877084
2,6,4,@,-0.8320502943,-0.5547001962,342.3010371004,0.4963157214,155.8621185535,0.9174775842,0.3977874841,998.8780355039,11.9783680108,17.0930107628,7.9005724622,998.8780355039,1,601.0731707317,1,0,7853.4246885058,-100,16.5632038578
2,6,6,@,-0.894427191,-0.4472135955,276.1756687328,0.6956654897,89.2020179144,0.7959461194,0.6053674711,888.0745551608,12.6890392699,15.3745350753,4.6741627062,888.0745551608,1,600.3658536585,1,0,7853.4246885058,-100,5.1413034873
2,7,1,@,-0.7071067812,-0.7071067812,310.096759093,0.5271459436,129.4488315899,0.9347322684,0.3553527632,973.8878690176,12.9569776581,17.4566887865,6.6630539878,0,0,625.2682926829,1,0,7853.4246885058,-100,14.7967622443
2,7,4,@,-0.8,-0.6,312.9872201864,0.5365839026,149.7230777135,0.8615906243,0.5076037787,895.4777299825,12.501245451,16.6993134471,7.231982172,895.4777299825,1,587.1975308642,1,0,7853.4246885058,-100,14.2560070264
