Average Gsr Per Shape, Average Gsr Before Shapes,percent change from before shapes
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
17.7079847074,40346.9234979558,-99.956110694
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
352.6466128293,40346.9234979558,-99.1259640581
0,40346.9234979558,-100
-2278.7561661721,40346.9234979558,-105.6479056359
182.1278106055,40346.9234979558,-99.5485955438
625.7039169065,40346.9234979558,-98.449190514
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
0,40346.9234979558,-100
3174.0148108093,40346.9234979558,-92.1331924825
0,40346.9234979558,-100
0,40346.9234979558,-100
188.0680500733,40346.9234979558,-99.5338726382
