Set,Seq,Shape,ShapeName,startCos,startSin,DiagLen,DiagAngle,EndDist,EndCos,EndSin,PathLen,TotalRotSum,AbsRotSum,RotSquaredSum,AvgSpeed,TotalTime,AvgPressure,StrokeCount
1,10,1,Psi,0,-1,291.605898431427,1.23169393489895,244.663033578839,0.147141149496128,0.989115504946191,503.211454886747,4.17196948011411,7.07763187843606,3.66323241827271,0,0,498.333333333333,2
1,10,2,Pound,0,-1,351.400056915192,0.644070260695403,199.722307216795,0.916272210902092,0.400556157771406,909.67955589492,7.39033402497368,14.9450060344232,13.75038292157,0,0,589.474576271186,4
1,10,3,Infinity,-0.894427190999916,-0.447213595499958,229.172424170099,0.365920701642087,23.8537208837531,-0.838443616300637,-0.544988350595414,523.905473200259,0.927295218001612,11.6426016448307,5.938007222541,523.905473200259,1,588.7,1
1,10,4,Infinity,-0.707106781186547,-0.707106781186547,243.846263042926,0.395737491656979,15.0332963783729,0.997785157856609,0.0665190105237739,572.633698067982,3.6052402625906,10.8738518093564,4.00294005222041,0,0,576.280701754386,1
1,10,5,Psi,-0.707106781186547,-0.707106781186547,291.509862611885,1.1577966100742,257.629579047127,0.0698677537982055,0.997556262563267,529.320608107642,5.90565511175605,7.26602773464367,2.71726568212751,529.320608107642,1,548.53488372093,2
1,10,6,Psi,-1,0,278.095307403775,1.21833870396819,250.459577576902,0.107801826790632,0.994172402624717,475.392030399542,5.1760365893855,6.57690525595377,3.30120194333553,0,0,548.948717948718,2
1,10,7,Psi,-0.447213595499958,0.894427190999916,270.386760030886,1.15182096468695,247.977821588948,0.0887176113534362,0.996056818377215,488.423938848433,6.74683291618039,7.87396835681996,5.08924242353344,0,0,526.139534883721,2
1,10,8,Psi,-1,0,251.199124202295,1.1570182088221,194.280724725846,0.252212359559318,0.967671910145955,436.795367261198,3.14159265358979,6.5083080071982,2.50794588472445,436.795367261198,1,537.893617021277,2
1,10,9,Line,-1,0,245.051015096857,0.0204053306865381,243.032919580867,0.999864546823848,0.0164586756678823,248.452781636704,1.38777878078145E-17,3.92974960223369,5.03709129634753,0,0,503.125,1
1,10,10,Pound,0,1,340.640573038503,0.60591599667368,212.875550498407,0.892540263807428,0.450967712239543,821.945337879886,4.71238898038469,6.6034661379746,4.27234104097215,821.945337879886,1,567.450980392157,4
1,10,11,Infinity,0,-1,220.771374956084,0.341805171980889,2,0,-1,509.081175083797,2.11121582706548,7.53003736995272,1.87649970118295,509.081175083797,1,563.803571428571,1
1,10,12,Pound,0,1,306.104557300279,0.669638945676638,175.504985684168,0.735021854206145,0.678043415895591,758.802604758809,4.22783849293828,7.29244950681147,4.35687915973118,0,0,626.76,4
1,11,1,Pound,0,1,281.113855937412,0.554451526158787,180.679273852869,0.891081730443005,0.453842868921282,749.755707010713,1.5707963267949,8.26853686316593,4.89447255860085,749.755707010713,1,512.753424657534,4
1,11,2,Pound,0,1,296.624341550049,0.656312275700887,173.833253435584,0.788111579875406,0.6155324018005,810.970873719051,7.89242422399567,10.8914106873224,9.24157843652344,810.970873719051,1,567.763636363636,4
1,11,3,Pound,-0.274721127897378,0.961523947640823,293.20470664708,0.696048319115388,198.237231619088,0.670913323969126,0.741535779123771,807.580530630776,4.95621953839029,10.0782973540302,9.74479290503662,807.580530630776,1,583.32,4
1,11,4,Pound,-0.554700196225229,0.832050294337844,343.145741631745,0.688395077691315,212.90373411474,0.901816028724632,0.432120180430553,832.90756921897,5.30039158393226,7.83047810622224,4.35263273634352,0,0,582.303571428571,4
1,11,5,Line,-0.894427190999916,-0.447213595499958,246.519776082975,0.0649491689680228,241.350367722943,0.998548302510375,0.0538636013802277,252.929290680782,0.463647609000806,1.63815058552065,0.774322268514196,252.929290680782,1,474.52,1
1,11,6,Psi,-1,0,281.811994066967,0.936521357914593,208.676783567315,0.186891897283913,0.982380485723133,474.323180796039,0.321750554396642,5.89852800926864,4.01474387114102,474.323180796039,1,561.055555555556,2
1,11,7,Infinity,-0.447213595499958,-0.894427190999916,244.826469157238,0.298498931586179,15.2315462117278,-0.919145030018058,0.393919298579168,559.344834770518,1.72739820377691,8.42940644068351,2.46762844544734,0,0,579.14,1
1,11,8,Pound,0,1,283.621226286045,0.762958040524781,153.600130208278,0.800780571170187,0.598957825590709,718.2955537654,4.90978454023457,7.59564648993034,4.75657785103107,718.2955537654,1,501.75,4
1,11,9,Pound,0,1,313.0814590486,0.726642340681726,186.59046063505,0.857492925712544,0.514495755427526,711.570971473871,3.51182169494247,7.10276226325969,4.10185113112603,0,0,564.078431372549,4
1,11,10,Psi,-1,0,276.696584727748,1.18156533884358,245.081619057815,0.0938462871610713,0.995586698578321,481.312033169287,7.02316019115546,7.8805526563828,4.49177814051361,481.312033169287,1,545.414634146341,2
1,11,11,Pound,-0.124034734589208,0.992277876713668,293.981291921782,0.725229912242439,179.847157330885,0.906325139741357,0.422581046750572,707.709442061123,4.83674397493145,7.39258056713125,4.88852174982408,0,0,599.155555555556,4
1,11,12,Infinity,-1,0,260.909946150008,0.372677355577873,53.2634959423431,-0.769757960393397,0.638335869594524,574.337761746082,4.39063842598805,11.8411936552958,7.19277674387444,574.337761746082,1,495.067796610169,2
1,11,13,Psi,-0.447213595499958,0.894427190999916,302.034766210779,1.0434368448816,241.267486412902,0.136777650775224,0.990601773796318,516.236050883693,3.82390920846454,7.08123659634034,5.06858360511589,516.236050883693,1,626.771428571429,2
1,12,1,Psi,0,1,270.573465070025,1.09888444313444,234.795655837156,0.255541354826486,0.966798125760205,495.652714471877,6.39384252835348,6.45005262327439,5.17212541176664,0,0,529.842105263158,2
1,12,2,Pound,-0.0995037190209989,0.995037190209989,307.88471868542,0.741747746859323,195.389354878919,0.772815899277489,0.634630274903369,733.702001507326,4.73811859521791,7.3111788066877,5.92911471818978,733.702001507326,1,560.928571428571,4
1,12,3,Psi,-1,0,335.737993083893,1.19250233545344,299.808272067333,0.0733802301327399,0.997304036804056,596.933529076552,4.12438637683712,7.25213842092644,3.83586452975404,0,0,622.405405405405,2
1,12,4,Psi,0,-1,263.153947338815,1.1768821434386,224.742074387508,0.155734079145554,0.987799016294654,449.712248713227,3.29424198198506,11.5682020080816,9.47158347669622,449.712248713227,1,538.833333333333,2
