Set,Seq,Shape,ShapeName,startCos,startSin,DiagLen,DiagAngle,EndDist,EndCos,EndSin,PathLen,TotalRotSum,AbsRotSum,RotSquaredSum,AvgSpeed,TotalTime,AvgPressure,StrokeCount,Average Gsr Per Shape, Average Gsr Before Shapes,percent change from before shapes,Aspect (Absolute value of 45 degrees minus bounding box angle)
1,1,1,Line,0.8320502943,-0.5547001962,438.1152816326,0.0983059461,436.0275220671,0.9953500136,-0.0963241949,445.3671827783,NaN,NaN,NaN,0,0,718.5208333333,1,0,111168.627206412,-100,39.3674841874
1,1,2,Psi,0.9701425001,-0.242535625,368.2852155599,1.1423710828,310.203159236,0.2417770347,0.9703318327,750.4876450805,NaN,NaN,NaN,750.4876450805,1,677.1904761905,2,0,111168.627206412,-100,20.4530416822
1,1,3,Pound,0.8320502943,0.5547001962,435.9323341988,0.7155930666,126.6056870761,-0.8056510126,0.5923904505,1144.5186800229,NaN,NaN,NaN,1144.5186800229,1,598.25,4,0,111168.627206412,-100,3.999537435
1,1,4,Infinity,0,-1,419.3149174547,0.3889207047,82.3650411279,-0.8741572761,0.4856429312,1056.8686501111,NaN,NaN,NaN,1056.8686501111,1,613.4086956522,1,0,111168.627206412,-100,22.7164850554
1,2,1,Line,0,-1,364.3089348342,0.0411854885,362.233350204,0.9993558014,0.035888468,368.0084977015,NaN,NaN,NaN,0,0,603.0571428571,1,0,111168.627206412,-100,42.6402453318
1,2,2,Infinity,-0.8,-0.6,474.0516849459,0.2690272502,73.1710325197,-0.9976625652,0.0683330524,1117.2647765348,NaN,NaN,NaN,1117.2647765348,1,616.2828282828,1,-486.3497356569,111168.627206412,-100.4374882985,29.5858739895
1,2,3,Pound,0.316227766,0.9486832981,430.4602188356,0.6602281731,119.4738465104,-0.8788534317,0.4770918629,1139.9706890027,1.083897095,14.1096805827,10.779801504,1139.9706890027,1,583.9736842105,4,0,111168.627206412,-100,7.1717121657
1,2,4,Psi,0.8320502943,0.5547001962,440.9909296119,1.1203325381,406.4209640262,0.2140637607,0.9768196898,857.3431027589,NaN,NaN,NaN,857.3431027589,1,689.3387096774,2,200.2588612034,111168.627206412,-99.8198602733,19.1903260843
1,3,1,Infinity,-1,0,417.6984558267,0.4615062847,41.4366987102,-0.9411946708,-0.3378647536,911.9087372915,-2.9441970937,8.7427646506,4.9430448408,911.9087372915,1,734.6315789474,2,0,111168.627206412,-100,18.5576376679
1,3,2,Pound,0.9284766909,0.3713906764,556.0656436069,0.6924357244,132.4424403279,-0.2265134947,0.974008027,1284.9080466925,NaN,NaN,NaN,1284.9080466925,1,542.6419753086,4,0,111168.627206412,-100,5.3263554078
1,3,3,Line,1,0,399.6623574969,0.0575803898,399.0050124998,0.9999874375,-0.0050124684,406.0677433514,0.5880026035,2.1018748047,0.446836044,0,0,630.4838709677,1,0,111168.627206412,-100,41.7008866817
1,3,4,Psi,0,-1,527.8304652064,1.1283319894,439.5270185097,0.2275172988,0.9737740389,948.3771959689,NaN,NaN,NaN,0,0,620.4444444444,2,0,111168.627206412,-100,19.6486608822
1,3,5,Infinity,-1,0,489.8663082924,0.3327249363,99.3629709701,-0.4830773429,0.875577684,1165.3825596069,NaN,NaN,NaN,0,0,629.5316455696,1,0,111168.627206412,-100,25.9362654113
1,4,1,Line,0.9863939238,-0.1643989873,775.1935242248,0.0554985052,775.1935242248,0.9984603532,-0.0554700196,775.8589647676,-0.1651486774,1.5111001955,0.156080365,775.8589647676,1,555.0256410256,1,-6945.0925182469,111168.627206412,-106.2473493582,41.8201698828
1,4,2,Pound,0.7071067812,-0.7071067812,702.7809046922,0.5196755883,143.2829368767,-0.9980253275,-0.0628127828,1768.6999042112,NaN,NaN,NaN,884.3499521056,2,527.1052631579,4,500.7009813739,111168.627206412,-99.5496022628,15.2247820744
1,4,3,Infinity,-0.7071067812,-0.7071067812,630.848634777,0.2384428085,97.7445650663,-0.7468445939,0.664998611,1482.8843373644,NaN,NaN,NaN,1482.8843373644,1,632.1808510638,1,1089.5309556012,111168.627206412,-99.0199294684,31.3382334177
1,4,4,Psi,0,-1,634.7172598882,0.9465175586,449.0345198312,0.4364920543,0.8997081119,1217.7213055727,NaN,NaN,NaN,0,0,619.1842105263,2,0,111168.627206412,-100,9.2314613428
1,4,4,Psi,0.7071067812,-0.7071067812,441.6197459353,1.0016357143,343.5127362995,0.5123536376,0.858774563,867.6563751559,NaN,NaN,NaN,867.6563751559,1,493.8375,2,0,111168.627206412,-100,12.389499039
1,4,5,Pound,1,0,741.6360293298,0.4431438483,232.8132298646,-0.9922116545,0.1245633679,1834.62769311,NaN,NaN,NaN,917.313846555,2,575.3609022556,4,0,111168.627206412,-100,19.6097277752
1,4,6,Psi,0,-1,367.6316090871,1.0962002502,329.661948062,0.1486371123,0.9888918085,776.1870611231,NaN,NaN,NaN,776.1870611231,1,512.9008264463,2,0,111168.627206412,-100,17.8076478376
1,5,1,Pound,1,0,460.2184264021,0.710040365,143.8089009763,-0.80662601,0.5910621625,1270.592801327,NaN,NaN,NaN,635.2964006635,2,521.1338028169,4,1254.6700830069,111168.627206412,-98.871381149,4.3176838016
1,5,2,Line,0.9701425001,0.242535625,513.2494520211,0.0936586434,481.2743500333,0.9973521339,0.0727235931,548.3053037695,NaN,NaN,NaN,0,0,664.2894736842,1,0,111168.627206412,-100,39.6337550183
1,5,3,Psi,-0.7071067812,0.7071067812,541.2365471769,1.2239195593,484.4842618703,0.1630599923,0.9866161558,1096.5448472734,NaN,NaN,NaN,1096.5448472734,1,603.8351648352,2,934.7741723,111168.627206412,-99.1591385126,25.1254252114
1,5,4,Line,1,0,537.6290542744,0.0483793519,519.6508443176,0.9987475353,-0.0500335952,556.431314983,NaN,NaN,NaN,556.431314983,1,706.2222222222,1,17.2602664802,111168.627206412,-99.9844737972,42.2280673206
1,5,5,Line,0.9922778767,0.1240347346,438.6490624634,0.0867383387,433.6680758368,0.9961535655,0.0876246192,447.7047383152,-2.2318394956,5.1306931227,4.41683928,0,0,684.12,1,0,111168.627206412,-100,40.0302592705
1,5,6,Infinity,0.9701425001,-0.242535625,527,0.4899573263,38.6005181312,0.2849702681,0.9585363563,1222.5173132108,NaN,NaN,NaN,1222.5173132108,1,550.5034965035,1,0,111168.627206412,-100,16.9275130615
