Set,Seq,Shape,ShapeName,startCos,startSin,DiagLen,DiagAngle,EndDist,EndCos,EndSin,PathLen,TotalRotSum,AbsRotSum,RotSquaredSum,AvgSpeed,TotalTime,AvgPressure,StrokeCount,Average Gsr Per Shape, Average Gsr Before Shapes,percent change from before shapes,Aspect (Absolute value of 45 degrees minus bounding box angle)
1,1,1,Line,1,0,245.8149710656,0.0814520443,245.3996740014,0.9983713344,0.0570497905,247.1413194487,0,0.721132001,0.0639107619,0,0,373.1176470588,1,0,-15923.6834315099,-100,40.3331416289
1,1,2,Psi,0.1961161351,0.9805806757,225.5238346606,1.0356999702,158.1455026234,0.4995399723,0.866290838,363.9038679571,3.1093457712,4.8986912555,3.2757171614,363.9038679571,1,370.0344827586,2,0,-15923.6834315099,-100,14.3412371343
1,1,3,Pound,0,1,241.3462243334,0.9621070195,132.3102414781,0.5668495436,0.8238213367,618.7771667939,NaN,NaN,NaN,618.7771667939,1,327.5737704918,4,0,-15923.6834315099,-100,10.1246716573
1,1,4,Infinity,0.894427191,-0.4472135955,204.8462838325,0.3959176682,6.7082039325,-0.4472135955,0.894427191,519.2526926344,1.1071487178,8.739138219,2.459737128,0,0,373.868852459,1,0,-15923.6834315099,-100,22.3155885775
1,2,1,Line,0.9701425001,0.242535625,244.8448488329,0.1228352389,244.1823089415,0.9951580893,0.0982872187,246.3732433014,0.3446473156,0.7760333107,0.0545907237,0,0,354.1875,1,314.8480797316,-15923.6834315099,-101.9772314684,37.9620592355
1,2,2,Infinity,0,-1,218.9360637264,0.3838990698,20.3960780544,0.1961161351,-0.9805806757,554.9015782968,0.2186689459,8.8464020153,2.5138411933,0,0,382.3214285714,1,0,-15923.6834315099,-100,23.0042035415
1,2,3,Pound,1,0,241.8139780906,0.9380474918,133.6899397861,0.6881594842,0.7255594561,655.8075305196,NaN,NaN,NaN,0,0,331.6891891892,4,0,-15923.6834315099,-100,8.746162263
1,2,4,Psi,1,0,244.8611851642,1.0633011544,216.3792966067,0.1478884556,0.9890040469,448.8986623761,1.7126933814,8.0478217186,6.6435550906,448.8986623761,1,401.125,2,0,-15923.6834315099,-100,15.9226684985
1,3,1,Infinity,0,-1,215.6756824494,0.4304647728,25.8069758011,-0.8137334712,0.5812381937,491.1186359418,0.5191461142,9.0509194838,2.294464957,0,0,495.9661016949,1,0,-15923.6834315099,-100,20.3361852895
1,3,2,Pound,1,0,235.8664876577,0.9510396944,144.5164350515,0.5674095128,0.8234357563,641.6480143586,NaN,NaN,NaN,641.6480143586,1,362.1142857143,4,0,-15923.6834315099,-100,9.4905606385
1,3,3,Line,1,0,240.2082429893,0.0416425791,240.0749882849,0.9996876464,0.0249921912,241.0018080669,NaN,NaN,NaN,0,0,368.3125,1,0,-15923.6834315099,-100,42.6140559695
1,3,4,Psi,0.4472135955,0.894427191,231.1925604339,1.0199914432,204.2669821582,0.264359905,0.9644240979,402.2977388461,2.6779450446,6.0975914116,3.7465640875,402.2977388461,1,398.78125,2,0,-15923.6834315099,-100,13.4412048348
1,3,5,Infinity,0.3713906764,-0.9284766909,242.3963696098,0.4710275488,35.6931365951,-0.1961161351,0.9805806757,572.2324684276,0.5603598769,8.6321348301,2.4624260988,0,0,385.5192307692,1,0,-15923.6834315099,-100,18.0121094194
1,4,1,Line,-0.9805806757,0.1961161351,264.4844040771,0.0605320198,250.511476783,0.9979582701,0.0638693293,280.0024347218,NaN,NaN,NaN,0,0,392.0714285714,1,0,-15923.6834315099,-100,41.5317707401
1,4,2,Pound,0,1,237.0021096953,0.9230758338,165.3239244635,0.5685807442,0.8226274596,663.1538298492,NaN,NaN,NaN,663.1538298492,1,314.6527777778,4,0,-15923.6834315099,-100,7.8883494473
1,4,3,Infinity,0,-1,196.6977376586,0.4022215657,23.6008474424,-0.593199038,0.8050558374,464.1435043947,0.1418970546,9.1848286987,3.3021789799,0,0,404.375,1,0,-15923.6834315099,-100,21.9544018562
1,4,4,Psi,0,1,207.523492646,1.0402938568,176.5672676347,0.1699069165,0.9854601157,392.823554703,3.1415926536,5.7580987093,4.5011119768,392.823554703,1,391.0277777778,2,0,-15923.6834315099,-100,14.604447448
1,4,5,Pound,-0.3511234416,0.9363291776,256.9065978133,0.8984869907,159.4020075156,0.5959774377,0.8030011792,702.9707964034,NaN,NaN,NaN,702.9707964034,1,306.0461538462,4,0,-15923.6834315099,-100,6.4795125145
1,4,6,Psi,1,0,228.3527972239,1.0581683169,177.3414785097,0.219914711,0.9755191028,405.2771482299,1.5707963268,7.9338207843,6.6937709402,0,0,395.2564102564,2,0,-15923.6834315099,-100,15.6285785728
1,5,1,Pound,0,1,230.2042571283,0.9333768111,140.20698984,0.5919818983,0.8059512591,650.7150062284,NaN,NaN,NaN,650.7150062284,1,368.5657894737,4,0,-15923.6834315099,-100,8.4785519714
1,5,2,Line,0.9486832981,0.316227766,205.1560381758,0.0390045982,205.0024390099,0.9999881025,0.0048779907,206.0917086354,0.4124104416,0.6773180114,0.0941570292,0,0,345.4285714286,1,0,-15923.6834315099,-100,42.7652011415
1,5,3,Psi,0.242535625,0.9701425001,224.3791434158,1.0533085858,197.6081982105,0.1619366013,0.9868011639,376.609441588,NaN,NaN,NaN,0,0,383.1621621622,2,0,-15923.6834315099,-100,15.3501364912
