Average Gsr Per Shape, Average Gsr Before Shapes,percent change from before shapes
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
314.8480797316,-15923.6834315099,-101.9772314684
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
15.817028613,-15923.6834315099,-100.0993302126
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
13.9445051,-15923.6834315099,-100.0875708511
14.0512787366,-15923.6834315099,-100.0882413846
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
452.1408871004,-15923.6834315099,-102.8394239878
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
-487.7857184777,-15923.6834315099,-96.9367281096
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
0,-15923.6834315099,-100
