Timestamp_Unix, Timestamp_Hour, Timestamp_Minute, Timestamp_Second, Timestamp_Millisecond, Current_Internal_ADC_A13_Raw, Current_Internal_ADC_A13_Cal, Current_GSR_Raw, Current_GSR_Calculated
1450115335, 17, 48, 55, 42, 25865, 18948.7179487179, 26121, 207.314039306742
1450115335, 17, 48, 55, 323, 2826, 2070.32967032967, 26121, 207.314039306742
1450115337, 17, 48, 57, 42, 62730, 45956.043956044, 55304, 1573.00769137841
1450115337, 17, 48, 57, 464, 59146, 43330.4029304029, 47624, 352.646612829284
1450115338, 17, 48, 58, 698, 16214, 11878.3882783883, 1612, 28.4607568853686
1450115341, 17, 49, 1, 511, 44042, 32265.2014652015, 9224, 74.0625532324601
1450115341, 17, 49, 1, 698, 48650, 35641.0256410256, 11272, 11.1243985872014
1450115346, 17, 49, 6, 261, 27251, 19964.1025641026, 19524, 74.4235893008648
1450115346, 17, 49, 6, 261, 54016, 39572.1611721612, 17514, 387.206690931619
1450115346, 17, 49, 6, 339, 17988, 13178.021978022, 22278, 161.55610843646
1450115346, 17, 49, 6, 339, 17524, 12838.0952380952, 1606, 28.6432002474772
1450115357, 17, 49, 17, 211, 54794, 40142.1245421245, 62984, 2485.36616402621
1450115358, 17, 49, 18, 195, 40714, 29827.1062271062, 62728, 3500.53768258805
1450115358, 17, 49, 18, 351, 8713, 6383.15018315018, 62729, 3494.96131427321
1450115360, 17, 49, 20, 851, 40522, 29686.4468864469, 32006, 69.0407478493807
1450115361, 17, 49, 21, 711, 64266, 47081.3186813187, 43272, 407.880246359669
1450115362, 17, 49, 22, 117, 2057, 1506.95970695971, 41737, 6702.41286863271
1450115362, 17, 49, 22, 367, 42506, 31139.9267399267, 41480, -4231.90859077444
1450115362, 17, 49, 22, 679, 45066, 33015.3846153846, 41480, -4231.90859077444
1450115363, 17, 49, 23, 211, 26377, 19323.8095238095, 41737, 6702.41286863271
1450115364, 17, 49, 24, 86, 1034, 757.509157509157, 50953, 1924.94337779054
1450115364, 17, 49, 24, 148, 59146, 43330.4029304029, 50440, 3500.53768258805
1450115364, 17, 49, 24, 586, 49418, 36203.663003663, 48904, 210.273987005068
1450115365, 17, 49, 25, 273, 10, 7.32600732600733, 47625, 352.460172000564
1450115365, 17, 49, 25, 430, 37641, 27575.8241758242, 47625, 352.460172000564
1450115365, 17, 49, 25, 523, 60169, 44079.8534798535, 47624, 352.646612829284
1450115365, 17, 49, 25, 711, 64009, 46893.0402930403, 47624, 352.646612829284
1450115366, 17, 49, 26, 523, 63498, 46518.6813186813, 48648, 228.743966877874
1450115367, 17, 49, 27, 70, 63498, 46518.6813186813, 51720, 1150.6229933135
1450115367, 17, 49, 27, 258, 3594, 2632.96703296703, 53001, 688.243466401537
1450115367, 17, 49, 27, 820, 24585, 18010.989010989, 55561, 1328.25867678339
1450115368, 17, 49, 28, 961, 9482, 6946.52014652015, 52233, 906.684239416139
1450115369, 17, 49, 29, 695, 18441, 13509.8901098901, 49417, -5536.70001605643
1450115370, 17, 49, 30, 23, 21770, 15948.7179487179, 48393, 250.676827434072
1450115370, 17, 49, 30, 914, 32009, 23449.8168498168, 46601, 768.521364893944
1450115373, 17, 49, 33, 164, 7178, 5258.60805860806, 43529, 352.460172000564
1450115374, 17, 49, 34, 414, 778, 569.96336996337, 41993, 1875.4688672168
1450115374, 17, 49, 34, 695, 52746, 38641.7582417582, 42248, 1092.06071857595
1450115375, 17, 49, 35, 148, 12553, 9196.336996337, 42249, 1090.27474923681
1450115375, 17, 49, 35, 820, 4874, 3570.69597069597, 41737, 6702.41286863271
1450115375, 17, 49, 35, 977, 48906, 35828.5714285714, 41736, 6770.48070413
1450115376, 17, 49, 36, 648, 38154, 27951.6483516483, 41736, 6770.48070413
1450115376, 17, 49, 36, 711, 40970, 30014.652014652, 41736, 6770.48070413
1450115377, 17, 49, 37, 492, 9481, 6945.78754578755, 41481, -4258.94378194208
1450115377, 17, 49, 37, 648, 18953, 13884.9816849817, 41737, 6702.41286863271
1450115377, 17, 49, 37, 992, 12042, 8821.97802197802, 41737, 6702.41286863271
1450115378, 17, 49, 38, 305, 19721, 14447.619047619, 41993, 1875.4688672168
1450115379, 17, 49, 39, 695, 2057, 1506.95970695971, 53001, 688.243466401537
1450115380, 17, 49, 40, 23, 29962, 21950.1831501831, 53256, -3358.48164388273
1450115380, 17, 49, 40, 367, 65289, 47830.7692307692, 53768, -15531.8091451292
1450115381, 17, 49, 41, 430, 27145, 19886.4468864469, 55049, 1924.94337779054
1450115381, 17, 49, 41, 867, 63498, 46518.6813186813, 54536, 3500.53768258805
