77
574,329,1
576,326,1
580,323,1
584,319,1
588,315,1
593,311,1
599,308,1
605,304,1
612,302,1
619,300,1
626,298,1
633,298,1
639,298,1
645,299,1
651,301,1
657,306,1
662,311,1
668,317,1
674,325,1
680,333,1
686,341,1
692,349,1
700,355,1
708,360,1
718,364,1
730,366,1
743,367,1
757,367,1
771,366,1
786,363,1
801,359,1
814,354,1
826,349,1
835,344,1
842,339,1
847,334,1
849,330,1
850,325,1
850,319,1
847,313,1
841,307,1
834,301,1
825,296,1
815,292,1
802,289,1
789,288,1
775,287,1
761,287,1
746,289,1
733,292,1
721,296,1
710,301,1
700,306,1
691,312,1
683,318,1
674,323,1
664,328,1
655,333,1
646,337,1
638,341,1
630,344,1
623,346,1
616,348,1
610,349,1
604,349,1
598,349,1
593,349,1
589,349,1
585,348,1
581,347,1
578,346,1
575,343,1
573,340,1
572,336,1
571,331,1
571,326,1
572,321,1
117
521,350,1
520,350,1
520,350,1
520,350,1
520,350,1
520,350,1
520,350,1
520,350,1
520,350,1
520,350,1
520,350,1
520,350,1
520,350,1
520,350,1
521,349,1
522,347,1
524,344,1
526,341,1
528,338,1
531,335,1
534,332,1
537,328,1
541,325,1
544,322,1
548,319,1
552,317,1
555,315,1
558,314,1
561,313,1
565,313,1
568,313,1
572,313,1
575,315,1
579,318,1
583,322,1
587,328,1
591,334,1
595,341,1
599,347,1
605,353,1
611,359,1
617,364,1
625,368,1
632,371,1
641,373,1
650,375,1
660,375,1
670,375,1
680,375,1
690,373,1
700,371,1
709,368,1
718,365,1
726,362,1
734,358,1
742,355,1
749,351,1
755,347,1
760,344,1
763,340,1
765,337,1
766,334,1
766,331,1
766,327,1
764,323,1
760,319,1
755,315,1
749,312,1
742,309,1
736,307,1
730,305,1
724,303,1
718,301,1
712,300,1
705,300,1
698,300,1
691,301,1
683,303,1
674,306,1
664,309,1
654,313,1
644,317,1
634,321,1
624,326,1
614,330,1
605,335,1
596,340,1
589,345,1
581,350,1
575,355,1
568,360,1
563,365,1
557,369,1
552,372,1
548,375,1
544,377,1
540,379,1
537,381,1
534,382,1
531,382,1
529,382,1
525,382,1
522,382,1
519,382,1
515,381,1
512,379,1
509,378,1
507,377,1
505,376,1
503,374,1
503,372,1
503,369,1
503,365,1
505,360,1
507,356,1
510,352,1
513,348,1
64
527,354,1
527,354,1
527,353,1
528,351,1
531,348,1
534,345,1
539,340,1
545,335,1
552,330,1
560,325,1
568,321,1
577,317,1
585,314,1
594,313,1
603,313,1
612,313,1
621,317,1
630,322,1
638,331,1
647,342,1
656,353,1
666,364,1
677,373,1
687,381,1
697,387,1
707,392,1
716,394,1
725,395,1
735,395,1
744,393,1
753,389,1
761,384,1
769,377,1
776,370,1
782,361,1
788,352,1
791,344,1
792,336,1
791,330,1
787,326,1
779,322,1
770,320,1
758,318,1
744,318,1
730,319,1
714,322,1
698,326,1
682,332,1
664,339,1
647,346,1
630,355,1
614,363,1
600,371,1
586,379,1
575,385,1
565,390,1
556,393,1
548,396,1
540,397,1
533,397,1
528,396,1
523,393,1
519,389,1
517,385,1
65
648,334,1
649,332,1
651,329,1
654,327,1
658,324,1
663,322,1
669,320,1
